Lesson;Spanish;German;Wordtype;Gender;Number;LA
1;primer;erster;Adjektiv;M.;SG;
1;primero;erstes;Adjektiv;N.;SG;
1;primera;erste;Adjektiv;F.;SG;
1;la hora;Stunde;Nomen;F.;SG;
1;hola;hallo;Phrase;;;
1;yo me llamo;ich heiße;Phrase;;;
1;yo;ich;Pronomen;;;
1;llamarse;heißen;Verb;;;
1;y;und;Konjunktion;;;
1;soy;ich bin;Phrase;;;
1;ser;sein;Verb;;;
1;de;aus;Präposition;;;
1;México;Mexiko;Nomen;N.;SG;
1 A;Mis primeras palabras en español;Meine ersten spanischen Wörter;Phrase;;;
1 A;la palabra;Wort;Nomen;F.;SG;
1 A;en español;auf Spanisch;Phrase;;;
1 A;¿Cómo te llamas?;Wie heißt du?;Phrase;;;
1 A;tú;du;Pronomen;;;
1 A;¿Qué tal?;Wie geht's?;Phrase;;;
1 A;Encantado.;Sehr erfreut! / Angenehm!;Phrase;M.;SG;
1 A;Encantada.;Sehr erfreut! / Angenehm!;Phrase;F.;SG;
1 A;¡Buenos días!;Guten Tag! / Guten Morgen!;Phrase;;;
1 A;usted;Sie;Pronomen;;;
1 A;¿Cómo se llama?;Wie heißen Sie?;Phrase;;;
1 A;¡Mucho gusto!;Freut mich! Angenehm!;Phrase;;;
1 A;él;er;Pronomen;;;
1 A;ella;sie (Sg);Pronomen;F.;SG;
1 A;nosotros;wir;Pronomen;M.;PL;
1 A;nosotras;wir;Pronomen;F.;PL;
1 A;vosotros;ihr;Pronomen;M.;PL;
1 A;vosotras;ihr;Pronomen;F.;PL;
1 A;ellos;sie (Pl);Pronomen;M.;PL;
1 A;ellas;sie (Pl);Pronomen;F.;PL;
1 A;ustedes;Sie (Pl);Pronomen;;;
1 A;¿Y usted?;Und Sie?;Phrase;;;
1 A;la calle;Straße;Nomen;F.;SG;
1 A;el mercado;Markt;Nomen;M.;SG;
1 A;el museo botánico;botanisches Museum;Nomen;M.;SG;
1 A;el metro;U-Bahn;Nomen;M.;SG;
1 A;la Plaza;Platz;Nomen;F.;SG;
1 A;España;Spanien;Nomen;F.;SG;
1 A;la farmacia;Apotheke;Nomen;F.;SG;
1 A;la Plaza Mayor;Hauptplatz einer Stadt;Nomen;F.;SG;
1 A;el bar de tapas;Tapasbar;Nomen;M.;SG;
1 A;el bar;Bar (Gebäude);Nomen;M.;SG;
1 A;la tapa;Appetithäppchen;Nomen;F.;SG;
1 A;la autovía;Schnellstraße;Nomen;F.;SG;
1 A;prohibido;verboten;Adjektiv;;;
1 A;hacer fuego;Feuer machen;Phrase;;;
1 A;la universidad;Universität;Nomen;F.;SG;
1 A;la foto;Foto, Bild;Nomen;F.;SG;
1 A;la fotografía;Foto, Bild;Nomen;F.;SG;
1 A;el número;Nummer, Zahl;Nomen;M.;SG;
1 A;¿verdad?;stimmt's?;Phrase;;;
1 A;Creo que sí.;ich glaube ja;Phrase;;;
1 A;creer;glauben;Verb;;;
1 A;que;dass;Konjunktion;;;
1 A;sí;ja;Adverb;;;
1 A;creo que;ich glaube, dass;Phrase;;;
1 A;No sé.;Ich weiß (es) nicht.;Phrase;;;
1 A;no;nein;Adverb;;;
1 B;Pronunciamos y deletreamos;Wir sprechen aus und buchstabieren;Phrase;;;
1 B;¿Cómo se pronuncia?;Wie spricht man das aus?;Phrase;;;
1 B;Cuba;Kuba;Nomen;N.;SG;
1 B;Bolivia;Bolivien;Nomen;N.;SG;
1 B;Viena;Wien;Nomen;N.;SG;
1 B;Galicia;Galizien;Nomen;N.;SG;
1 B;Roma;Rom;Nomen;N.;SG;
1 B;Marruecos;Marokko;Nomen;N.;SG;
1 B;Perú;Peru;Nomen;N.;SG;
1 B;Canadá;Kanada;Nomen;N.;SG;
1 B;Francia;Frankreich;Nomen;N.;SG;
1 B;Suiza;Schweiz;Nomen;N.;SG;
1 B;Zúrich;Zürich;Nomen;N.;SG;
1 B;Japón;Japan;Nomen;N.;SG;
1 B;el cenicero;Aschenbecher;Nomen;M.;SG;
1 B;el zapatero;Schuster;Nomen;M.;SG;
1 B;el chico;Junge;Nomen;M.;SG;
1 B;la chica;Mädchen;Nomen;F.;SG;
1 B;el perro;Hund;Nomen;M.;SG;
1 B;pero;aber;Konjunktion;;;
1 B;arriba;oben, hinauf;Adverb;;;
1 B;la arepa;Arepa (Maismehlfladen);Nomen;F.;SG;
1 B;el alfabeto;Alphabet;Nomen;M.;SG;
1 B;doble;Doppel-, doppelt;Adjektiv;;;
1 B;con;mit;Präposition;;;
1 B;la diéresis;Umlaut;Nomen;F.;SG;
1 B;el acento;Akzent;Nomen;M.;SG;
1 B;la mayúscula;Großbuchstabe;Nomen;F.;SG;
1 B;la minúscula;Kleinbuchstabe;Nomen;F.;SG;
1 B;¿Cómo se escribe?;Wie schreibt man das?;Phrase;;;
1 B;escribir;schreiben;Verb;;;
1 B;¿Cómo se dice…?;Wie sagt man das?;Phrase;;;
1 B;decir;sagen;Verb;;;
1 B;el libro;Buch;Nomen;M.;SG;
1 B;a;oder;Konjunktion;;;
1 B;así;so;Adverb;;;
1 B;el bolígrafo;Kugelschreiber;Nomen;M.;SG;
1 B;en alemán;auf Deutsch;Phrase;;;
1 B;gracias;danke;Interjektion;;;
1 B;¿Qué?;Was?;Pronomen;;;
1 B;significar;bedeuten;Verb;;;
1 B;la pizarra;Tafel;Nomen;F.;SG;
1 B;la goma;Radiergummi;Nomen;F.;SG;
1 B;el reloj;Uhr;Nomen;M.;SG;
1 B;la agenda;Terminkalender;Nomen;F.;SG;
1 B;el lápiz;Bleistift;Nomen;M.;SG;
1 B;la mesa;Tisch;Nomen;F.;SG;
1 B;el estuche;Mäppchen;Nomen;M.;SG;
1 B;el cuaderno;Heft;Nomen;M.;SG;
1 B;la mochila;Rucksack;Nomen;F.;SG;
1 B;la tableta;Tablet-PC;Nomen;F.;SG;
1 B;la silla;Stuhl;Nomen;F.;SG;
1 C;más;mehr;Adjektiv;;;
1 C;Más despacio, por favor.;Langsamer, bitte.;Phrase;;;
1 C;por favor;bitte;Phrase;;;
1 C;poder (o -> ue);können;Verb;;;
1 C;repetir (e -> i);wiederholen;Verb;;;
